komentar,skor,topik
"Konten, konten dan konten, konten ini lah yg menggambarkan tidak ada dusta diantara kita, transparansi kerja pemerintahan yg dimana masyarakat kita ingin tau dan pingin tau karna ulah oknum yg selalu menyelewengkan jabatan nya untuk kepentingan pribadi atau golongan, rakyat jadi tau dan ikut pintar tidak lagi dibodohi bodohinoleh oknum yg nakal, Terimakasih KDM bapak aing 🙏🙏🙏",0.0,Tuntutan Keadilan
Gubernur jabar memang the best,0.0,Optimisme Ekonomi
Assalamualaikum waroqmatullaihi wabarokatu Cirebon hadir KDM hatur nuhun Oke lanjut. ........,0.0,Lain-lain
"mantaaap kang Dedi Mulyadi, terima kasih objektivitias harus terbangun",0.0,Lain-lain
❤❤❤❤❤KDM 🎉🎉🎉🎉🎉 Dayeuhkolot bandung hadir🎉🎉🎉❤❤❤❤❤,0.0,Lain-lain
Oknum2 keluarga desa d Garut ini harus d proses hukum nih..klo d biarkan maka rakyat akan terus d tindas oleh para pejabat laknat 😂,0.0,Tuntutan Keadilan
"Bapak aing 
Tolong bantu saya untuk meminta keadilan atas nama baik suami saya 
Yg sudah di jelekan oleh satu yayasan yg berkantor di bekasi 
Apa Krn kami pengamen y seenak jidat nya membuat nama suami saya jelek
Sehingga suami saya GK bisa kerja",0.0,Tuntutan Keadilan
"Hei said iqbal dengerin ni penjelasan dari gub aing,jgn anti terhadap kinten gub aing,agar kau cerdas dan tercerahkan otak kau.",0.0,Lain-lain
❤❤,0.0,Lain-lain
ibu ini cerdas dan paham mantap. 👍👍,0.0,Lain-lain
"Nah itu, kata kuncinya Po-li-tik berkepentingan. KDM detail dan fakta.",0.0,Lain-lain
"YANG DEMO TERUS KENA PHK, BIARIN AJA KANG, YANG GA TERIMA UMSK DI PHK BIARIN. YANG MASIH NGANGGUR PENGEN KERJA JUTAAN KANG..😊SALAM DARI SBY-JATIM",0.0,Optimisme Ekonomi
"INI GUBERNUR GILA,,, STANDAR NYA TERLALU TINGGI,,, KELIATAN BANGET KINERJANYA,,,, DOA' TERBAIK UNTUK PAK DEDY SEKELUARGA DARI SAYA PENGAMAL SHOLAWAT WAHIDIYAH KEDUNGLO AL MUNADROH 🎉🎉🎉",0.0,Kebijakan Pemprov
Sehat berkah selalu bapak KDM semoga Alloh selalu melindungi bapak...dan di Indonesia bermunculan orang 2 yg berjiwa seperti bapak KDM Aamiin 🤲❤,0.0,Lain-lain
❤❤❤❤❤,0.0,Lain-lain
"Dengerin buruh. Jgn mau jadi sapi perah si said.
Logika kdm :  klo menyimpang  pasti di babad . Berlaku untuk semua.. jagnkan buruh. Ko perushaannya gk bener bakal di tindak tegas. 
Jgn uji nyali kdm..
Tambang miik mafia2 miliurder aja disikat apalagi cuman pabrik. 
Kdm pasti adil.. 
Kalian aja ke hasut si said supaya hidup hedon",1.0,Tuntutan Keadilan
Wkwkwk said iqbal dikibulin anak buahnya hahahha,0.0,Lain-lain
Manusia yg cerdas mengutamakan ke bijaksanaan dlm permuyawatatan.belajarlah dari kegagalan jgn mau di adu domba sistim yg blm jls keabsahanya bagi yg suka demo merusak pasilitas negara.KDM sayang kita semua terus kawal urang sunda/jawa barat harudang.,0.0,Harga Pangan
Presiden buruh. Orasi nya seperti preman... Kalo aku buruh gak bakal mau ikutan demo.... Bicara nya seperti propokator.. Bukan ciri pemimpin yg baik kalo bicara nya kaya gitu,0.0,Kelayakan Upah
