Kabupaten/Kota Tanpa Provinsi,,,,,
,[Seri 2010] Laju Pertumbuhan (y-on-y) Produk Domestik Regional Bruto (PDRB) Triwulanan Menurut Kabupaten/Kota Provinsi Jawa Barat (Persen),,,,
,2023,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
Kabupaten Bogor,4.89,4.9,5.46,5.49,5.19
Kabupaten Sukabumi,4.11,5.28,4.41,6.89,5.17
Kabupaten Cianjur,5.69,9.04,5.94,-0.06,5.16
Kabupaten Bandung,5.01,5.58,5.71,3.59,4.97
Kabupaten Garut,4.96,4.07,4.25,6.49,4.94
Kabupaten Tasikmalaya,3.22,6.16,7.75,1.74,4.69
Kabupaten Ciamis,5.78,6.51,3.92,3.82,4.99
Kabupaten Kuningan,4.06,4.99,4.2,7.75,5.25
Kabupaten Cirebon,3.54,3.99,4.51,7.36,4.85
Kabupaten Majalengka,4.56,7.08,5.22,7.84,6.15
Kabupaten Sumedang,4.78,6.74,3.56,4.97,5.01
Kabupaten Indramayu,28.93,22.42,-3.42,-2.67,9.76
Kabupaten Subang,5.29,4.13,3.38,5.78,4.64
Kabupaten Purwakarta,4.56,4.78,5.37,5.14,4.97
Kabupaten Karawang,2.94,4.25,6.51,7.82,5.4
Kabupaten Bekasi,5.33,5.73,5.82,4.44,5.32
Kabupaten Bandung Barat,5.08,4.9,4.78,5.23,5
Kabupaten Pangandaran,3.92,5.44,4.57,7.13,5.26
Kota Bogor,4.36,5.16,4.87,5.96,5.1
Kota Sukabumi,4.72,4.8,5.38,5.58,5.12
Kota Bandung,4.87,5.44,4.82,5.16,5.07
Kota Cirebon,5.61,5.53,5.43,3.55,5.01
Kota Bekasi,4.08,4.97,5.62,7.01,5.43
Kota Depok,3.56,4.93,5.33,6.35,5.05
Kota Cimahi,4.46,5.23,5.01,6.03,5.19
Kota Tasikmalaya,3.8,5.59,5.78,8.63,5.96
Kota Banjar,4.03,4.58,4.01,6.18,4.71
